Cake List ,Description,Allergen-Free,,Retail Price ,,Food Cost,Labor Cost,Packaging Cost,Total Cost,Profit $,Profit %
Pecan Tart,,,,25,,,,,,,
Chocolate Nemesis,,,,25,,,,,,,
Pear Breton,,,,24,,,,,,,
Meringues,,,,6.75,,,,,,,
Lumiere Marshmallows,,"Nut Free, Dairy, Gluten Free",,10.5,,,,,,,
Garlic Red Pepper Crostini,,,,9.75,,,,,,,
Lemon Chilli Crostini,,,,9.75,,,,,,,
Hazelnut Dacquoise Square ,,,,12,,,,,,,
Biscotti,,,,9.75,,,,,,,
Crincle Cookie,,"Nut Free, Dairy Free","has Gluten, has Eggs",,,,,,,,
Hazelnut Cookie,,,"has Nuts, has Gluten, has Eggs, has Dairy",,,,,,,,
Sweetheart,,Nut Free,"has Gluten, has Eggs, has Dairy",,,,,,,,
Bread,,,,,,,,,,,
Tartine,,,,7,,,,,,,
Rye & Walnut,,,,7.5,,,,,,,
Whole Wheat & Seeds,,,,7.5,,,,,,,
Jalapeno & Onions,,,,7.5,,,,,,,
Tomato & Garlic ,,,,7.5,,,,,,,
Greek Olive,,,,7.5,,,,,,,
Yesterday's Sourdough,,,,4.3,,,,,,,
Classic Challah,,,,7.95,,,,,,,
Japanese Milk Bread,,,,6.5,,,,,,,
French Baguette,,,,3.45,,,,,,,
