id,name,slug,price,imageUrl,category,description,allergenFree,allergens
14,Tiramichoux,tiramichoux,9,/Lumiere/Personal Desserts/Tiramichoux.png,personal-desserts,"Cocoa Craquelin Choux Pastry, Sabayon Mascarpone Cream, Espresso Biscotti Savoiardi, Cappuccino Chantilly",Nut Free,"has Dairy, has Gluten, has Eggs, has Alchohol"
15,Sweet Pleasure,sweet-pleasure,10.5,/Lumiere/Personal Desserts/Sweet Pleasure.png,personal-desserts,"Hazelnut Dacquoise, Hazelnut Crunch, Milk Chocolate Ganache, Milk Chocolate Chantilly",Gluten Free,"has Nuts, has Dairy, has Eggs"
16,Lemon Pistachio Meringue,lemon-pistachio-meringue,11.5,/Lumiere/Personal Desserts/Lemon Pistachio Meringue.png,personal-desserts,"Pistachio Dacquoise, Dairy Free Lemon Cream, Meringue","Gluten Free, Dairy Free","has Nuts, has Eggs"
17,Coconut Dream,coconut-dream,11.5,/Lumiere/Personal Desserts/Coconut Dream.png,personal-desserts,"Coconut Dacquoise, Dairy Free Dark Chocolate Mousse, Toasted Coconut Diplomat","Gluten Free, Dairy Free, Nut Free",has Eggs
18,Rings of Paris,rings-of-paris,10.5,/Lumiere/Personal Desserts/Rings of Paris.png,personal-desserts,"Hazelnut Chantilly, Hazelnut Praline, Choux Pastry",,"has Dairy, has Nuts, has Gluten"
19,Dubai Chocolate,dubai-chocolate,11.5,/Lumiere/Personal Desserts/Dubai Chocolate.png,personal-desserts,"Cocoa Tart Shell, Kataifi Pistachio, Milk Chocolate Ganache, Milk Chocolate Mousse",,"has Nuts, has Dairy, has Gluten, has Eggs"
20,Cream & Crumb,cream-crumb,9.5,/Lumiere/Personal Desserts/Cream & Crumb.png,personal-desserts,"Light No-Bake Cheesecake, Buttery Crumbles, Graham Cracker Crust",Nut Free,"has Dairy, has Honey, has Gluten"
21,Chocolate Cream & Crumb,chocolate-cream-crumb,10,,personal-desserts,"Light No-Bake Chocolate Cheesecake, Cocoa Buttery Crumbles, Graham Cracker Crust",Nut Free,
22,Daisy,daisy,11.5,/Lumiere/Personal Desserts/Daisy.png,personal-desserts,"Passion Fruit Mousse, Passion Fruit Compote, Hazelnut Milk Chocolate Ganache, Cocoa Tart",,"has Nuts, has Dairy, has Eggs, has Gluten"
23,Peaches & Cream,peaches-cream,11.5,/Lumiere/Personal Desserts/Peaches & Cream.png,personal-desserts,"Almond Short Dough, Vanilla Mousse, Peach Joconde, Peach Brunoise",,"has Dairy, has Nuts, has Gluten, has Eggs"
24,Blackcurrant Queen,blackcurrant-queen,11.5,/Lumiere/Personal Desserts/Blackcurrant Queen.png,personal-desserts,"Blackcurrant Compote, Blackcurrant Mousse, Hazelnut Crunch",,"has Dairy, has Nuts, has Gluten, has Eggs"
25,Strawberry Cheesecake Tart,strawberry-cheesecake-tart,10.5,/Lumiere/Personal Desserts/Strawberry Cheesecake Tart.png,personal-desserts,"Light Cheesecake, Strawberry Mousse, Buttery Crumble, Almond Short Dough",,"has Dairy, has Eggs, has Nuts, has Gluten"
26,Raspberry Pistachio Tart,raspberry-pistachio-tart,10.5,/Lumiere/Personal Desserts/Raspberry Pistachio Tart.png,personal-desserts,"Pistachio Almond Cream, Raspberry Mousse, Almond Short Dough, Macaron",,"has Nuts, has Dairy, has Gluten, has Eggs"
27,Cleopatra,cleopatra,11.5,/Lumiere/Personal Desserts/Cleopatra.png,personal-desserts,"Milk Chocolate Ganache, Milk Chocolate Cream, Hazelnut Wafer",,"has Nuts, has Dairy, has Gluten, has Eggs"
